%time,field.header.seq,field.header.stamp,field.header.frame_id,field.param_id,field.value.integer,field.value.real,field.param_index,field.param_count
1574069814746973142,1589,1574069814746672844,,STAT_FLTTIME,4256,0.0,632,828
1574069814760398545,1590,1574069814760065531,,STAT_RUNTIME,63639,0.0,633,828
1574069844747324651,1591,1574069844746889455,,STAT_FLTTIME,4286,0.0,632,828
1574069844752982854,1592,1574069844752615823,,STAT_RUNTIME,63669,0.0,633,828
1574069846525380694,1593,1574069846525011245,,MOT_THST_HOVER,0,0.430156677961,471,828
