%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1574069795420273798,94,1574069795420129775,,0,1007,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069795707851281,95,1574069795707524327,,0,1007,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069795996417752,96,1574069795996223497,,0,1007,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069796268623886,97,1574069796268276417,,0,1007,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069796631131484,98,1574069796630754858,,0,1007,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069796881977323,99,1574069796881804162,,0,1007,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069797160732585,100,1574069797160406706,,0,1007,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069797411906857,101,1574069797411742525,,0,1007,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069797701276984,102,1574069797700930592,,0,1007,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069797980498098,103,1574069797980325710,,0,1007,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069798305559499,104,1574069798305284594,,0,1007,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069798592849981,105,1574069798592529905,,0,1007,1495,1491,1475,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069798832767693,106,1574069798832600367,,0,1038,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069799121196233,107,1574069799120847587,,0,1071,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069799411632686,108,1574069799411405427,,0,1072,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069799744594355,109,1574069799744372072,,0,1072,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069800001452145,110,1574069800001118177,,0,1072,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069800281040308,111,1574069800280860861,,0,1072,1495,1490,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069800583599894,112,1574069800583249707,,0,1072,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069800860862626,113,1574069800860734076,,0,1072,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069801171251912,114,1574069801170866495,,0,1072,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069801440522298,115,1574069801440331246,,0,1098,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069801720098162,116,1574069801719755450,,0,1122,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069802002573628,117,1574069802002209973,,0,1235,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069802294094993,118,1574069802293953518,,0,1243,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069802650097787,119,1574069802649728804,,0,1313,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069802937418895,120,1574069802937256121,,0,1377,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069803171109056,121,1574069803170699190,,0,1386,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069803428701356,122,1574069803428579763,,0,1442,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069803684934456,123,1574069803684567910,,0,1469,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069803965857700,124,1574069803965742711,,0,1491,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069804295968767,125,1574069804295864820,,0,1526,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069804582874958,126,1574069804582538821,,0,1548,1495,1491,1475,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069804863656644,127,1574069804863507003,,0,1586,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069805160502797,128,1574069805160199665,,0,1625,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069805418030820,129,1574069805417853319,,0,1648,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069805702095909,130,1574069805701944398,,0,1653,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069806023303380,131,1574069806022959848,,0,1653,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069806337251922,132,1574069806337124427,,0,1653,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
